Id,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
1,5.74918015694913,3.8299589227413273,1.5139448078224609,1.8327595526839475,1
2,5.084883186978711,3.301930408310375,3.875568205865053,2.1685003576379396,2
3,6.622195003969586,2.3590434788646863,5.079354739327598,1.6697861270937941,0
4,5.8181341643918145,2.913655234786078,2.5443314907934464,1.327817465551718,2
5,4.776194360051189,2.994727317294424,4.683020348285357,0.4814194404260117,1
6,7.542060284450988,3.809191281366125,5.89337238584001,0.22830091025156357,1
7,6.788398687394756,2.049611285340571,2.1229881530607804,1.1696602965921914,2
8,6.759461883203733,2.645647152315945,6.411601491766691,0.21843895287381104,1
9,7.261301953282026,3.242231123157253,4.265995342707912,1.4664031165773403,1
10,6.206782043158292,2.645232181886824,2.7654688253762574,1.018550059162651,1
11,7.234195942248846,3.5082417138055977,3.5420638247553975,1.9172538872367266,0
12,6.093126712639621,3.1564819502590797,2.8419321143396887,0.8335563924068402,0
13,4.541831439696556,2.868104611662994,5.278155843606565,1.5231584823218371,1
14,5.75889311689968,4.27810070448923,5.69817391414928,1.390440452212241,2
15,6.090873618327606,3.5171827980474983,5.9143306146801,0.1113098212533788,0
16,6.892729293876265,2.311859293443059,6.816032672555873,0.2737345558343448,2
17,4.683683428463228,3.3442200738641494,5.668577325730433,0.7968837099664492,1
18,4.804066739177617,3.8737564476821627,4.548166017062524,2.217364194449836,1
19,5.249261689484619,3.700375273982714,3.0013997605115246,0.4528358917594686,2
20,5.259394216135176,2.4130141503086224,4.213113147393422,1.8061463931053,0
21,6.935864482452624,4.3338079976962485,1.242302219463392,2.4360797587654894,2
22,5.202630378021752,3.0771527497918543,5.394467945626487,1.9973621264587724,2
23,6.579153028086811,2.381660008976627,3.631137716043401,0.6830688680489054,1
24,6.079385860497777,2.432469809907555,1.118137055419907,2.2800766249913957,0
25,6.363859761445843,2.2357639812537933,1.3687909549114239,0.3234571756201362,2
26,7.317185067441866,3.9284434602438427,3.2860521365483644,1.2235406604897658,0
27,5.7557734055764875,2.2928731863724368,4.442186962208767,2.230100578543393,1
28,7.075280957431374,2.3003006171401927,3.7388032988175475,1.6390377022164875,0
29,5.819329814382474,4.041131875426011,4.653305472023714,1.0927469553464773,1
30,5.573936955620498,2.8270498026741433,3.8337361268689993,0.802750880169205,0
31,7.751057838327594,2.0740589703393737,4.904052688339946,1.00023857276404,2
32,4.963735314444268,2.1245487188441863,2.292843781557725,1.321460274422287,1
33,4.625213058079388,2.3412090720893493,1.6657748043833664,0.8657054316947377,2
34,7.075549331927723,2.512144035141655,4.518960332291394,2.4255228689975192,1
35,4.54569893927473,3.5963508661721733,3.859668149924214,2.339386367358748,0
36,7.313484366530906,2.377583072004388,1.1585191588651182,2.18961152371437,0
